Customer State,MSKU,Quantity
Andhra Pradesh,CSTE_0355_Wands_Harrypotter_light_SG,1
Assam,CSTE_0017_MB_HP_Brown,1
Chandigarh,CSTE_0060_MB_YouAreMySunshine_Brown,1
Chhattisgarh,CSTE_0044_MB_LaVienRose_Black,1
Chhattisgarh,CSTE_0060_MB_YouAreMySunshine_Brown,1
Delhi,CSTE_0017_MB_HP_Brown,1
Delhi,CSTE_0059_MB_YouAreMySunshine_Black,1
Goa,CSTE_0199_MB_MHA8_Brown,1
Gujarat,CSTE_0148_SG_ButterFly_RedGreen,1
Gujarat,CSTE_0434_ST_Pokemon_Bulbasour_Green,1
Himachal Pradesh,CSTE_0045_MB_LavienRose_Brown,1
Jharkhand,CSTE_0436_MB_Kalimba_8Notes_Heartshape,1
Karnataka,CSTE_0017_MB_HP_Brown,1
Karnataka,CSTE_0045_MB_LavienRose_Brown,1
Karnataka,CSTE_0148_SG_ButterFly_RedGreen,1
Karnataka,CSTE_0240_SG_Wings_Red,1
Kerala,CSTE_0017_MB_HP_Brown,2
Kerala,CSTE_0045_MB_LavienRose_Brown,1
Kerala,CSTE_0199_MB_MHA8_Brown,1
Maharashtra,CSTE_0017_MB_HP_Brown,1
Maharashtra,CSTE_0148_SG_ButterFly_RedGreen,4
Maharashtra,CSTE_0320_ST_StrawberryRed,1
Maharashtra,CSTE_0359_Wands_Hermoine_light_SG,1
Punjab,CSTE_0148_SG_ButterFly_RedGreen,1
Rajasthan,CSTE_0148_SG_ButterFly_RedGreen,1
Rajasthan,CSTE_O0390_OT_Toiletry_Bottles,1
Tamil Nadu,CSTE_0015_MB_HBD_Black,1
Tamil Nadu,CSTE_0017_MB_HP_Brown,3
Telangana,CSTE_0045_MB_LavienRose_Brown,1
Telangana,CSTE_0430_Org_Compression_Kit_Blue,1
Uttar Pradesh,CSTE_0015_MB_HBD_Black,1
Uttar Pradesh,CSTE_0017_MB_HP_Brown,2
Uttar Pradesh,CSTE_0148_SG_ButterFly_RedGreen,1
Uttar Pradesh,CSTE_0484_ST_Animal_Kaonashi_Ghost_Black,1
Uttar Pradesh,CSTE_O0390_OT_Toiletry_Bottles,1
Uttarpradesh,CSTE_0148_SG_ButterFly_RedGreen,1
West Bengal,CSTE_0045_MB_LavienRose_Brown,1
West Bengal,CSTE_0157_SG_FireGlass_Green,1
West Bengal,CSTE_0199_MB_MHA8_Brown,1
West Bengal,CSTE_0200_MB_MHLasaCasaDePapel_Brown,1
