MSKU,Quantity
CSTE_0015_MB_HBD_Black,2
CSTE_0017_MB_HP_Brown,11
CSTE_0044_MB_LaVienRose_Black,1
CSTE_0045_MB_LavienRose_Brown,5
CSTE_0059_MB_YouAreMySunshine_Black,1
CSTE_0060_MB_YouAreMySunshine_Brown,2
CSTE_0148_SG_ButterFly_RedGreen,10
CSTE_0157_SG_FireGlass_Green,1
CSTE_0199_MB_MHA8_Brown,3
CSTE_0200_MB_MHLasaCasaDePapel_Brown,1
CSTE_0240_SG_Wings_Red,1
CSTE_0320_ST_StrawberryRed,1
CSTE_0355_Wands_Harrypotter_light_SG,1
CSTE_0359_Wands_Hermoine_light_SG,1
CSTE_0430_Org_Compression_Kit_Blue,1
CSTE_0434_ST_Pokemon_Bulbasour_Green,1
CSTE_0436_MB_Kalimba_8Notes_Heartshape,1
CSTE_0484_ST_Animal_Kaonashi_Ghost_Black,1
CSTE_O0390_OT_Toiletry_Bottles,2
