Order Date,MSKU,Quantity
2025-01-26,CSTE_0442_CLT_AF_Goku_Big,1
2025-01-26,CSTE_O0390_OT_Toiletry_Bottles,2
2025-01-26,Mapping Not Found,1
2025-01-27,CSTE_0162_SG_FireGlass_MercuryPink,1
2025-01-27,CSTE_0417_Organizer_StorageBox_SkyBlue,1
2025-01-27,CSTE_0454_ST_Animal_Garfield_Orange,1
2025-01-27,CSTE_0490_ST_Fruit_Blox_Shadow,1
2025-01-27,CSTE_O0390_OT_Toiletry_Bottles,12
2025-01-27,Mapping Not Found,2
2025-01-28,CSTE_0157_SG_FireGlass_Green,1
2025-01-28,CSTE_0463_ST_Pokemon_Gengar,1
2025-01-28,CSTE_0478_ST_Minecraft_Cow_Brown,1
2025-01-28,CSTE_O0390_OT_Toiletry_Bottles,2
2025-01-28,Mapping Not Found,2
2025-01-29,CSTE_0054_MB_Starwar_Black,1
2025-01-29,CSTE_0148_SG_ButterFly_RedGreen,1
2025-01-29,CSTE_0156_SG_FireGlass_Yellow,1
2025-01-29,CSTE_0157_SG_FireGlass_Green,1
2025-01-29,CSTE_0294_OT_Harrypotter_new_wand,1
2025-01-29,CSTE_0417_Organizer_StorageBox_SkyBlue,1
2025-01-29,CSTE_0447_CLT_AF_Goku_SSJ,1
2025-01-29,CSTE_O0120_OT_DolphinBubbleMachine,1
2025-01-29,CSTE_O0390_OT_Toiletry_Bottles,4
2025-01-29,CSTE_O0445_OT_Glue_Sand_Rubber_Monkey,1
2025-01-29,Mapping Not Found,4
2025-01-30,CSTE_0148_SG_ButterFly_RedGreen,1
2025-01-30,CSTE_0157_SG_FireGlass_Green,1
2025-01-30,CSTE_0205_MB_MHA10_Brown,1
2025-01-30,CSTE_0533_ST_Animal_Breathing_Koala_Grey,1
2025-01-30,CSTE_O0390_OT_Toiletry_Bottles,1
2025-01-30,Mapping Not Found,1
2025-01-30,Minecraft_Small_Sword_Steve,1
2025-01-31,CSTE_0085_MB_Titanic_Brown,1
2025-01-31,CSTE_0148_SG_ButterFly_RedGreen,1
2025-01-31,CSTE_O0390_OT_Toiletry_Bottles,2
2025-01-31,Mapping Not Found,2
2025-02-01,CSTE_0148_SG_ButterFly_RedGreen,2
2025-02-01,CSTE_0157_SG_FireGlass_Green,1
2025-02-01,CSTE_O0390_OT_Toiletry_Bottles,4
2025-02-01,Mapping Not Found,1
